,eng,mar,eng_layer_1,mar_layer_1,eng_layer_8,mar_layer_8,eng_layer_16,mar_layer_16,eng_layer_24,mar_layer_24,eng_layer_30,mar_layer_30
10,have you ever sold a car,तुम्ही कधी गाडी विकली आहे का,[[-0.09875 -0.1804   0.2401  ...  0.2664   0.1952  -0.00903]],[[ 0.1783  -0.00948  0.3423  ... -0.3484  -0.2808   0.0693 ]],[[ 0.04236 -0.315    0.234   ...  0.2444   0.02824  0.9644 ]],[[ 0.694   -0.0319   0.3457  ...  0.1556  -0.01362  1.751  ]],[[-0.05807 -0.529    0.07184 ...  0.4685  -0.2544   0.9683 ]],[[ 0.9897  -0.3928  -0.05228 ...  0.625   -0.522    1.503  ]],[[ 7.324e-04 -1.633e+00  3.315e-01 ...  2.129e+00 -1.701e+00  2.195e+00]],[[-1.093 -1.214 -1.014 ...  0.723 -1.143  1.524]],[[-0.619  -0.51   -0.95   ...  0.608  -0.6523  0.966 ]],[[ 0.06775 -0.2463   1.488   ...  1.745   -0.3462   0.691  ]]
11,the capital of the united kingdom is london,लंडन ही संयुक्त राज्याची राजधानी आहे,[[-0.12317  0.0682   0.3489  ...  0.0753   0.2109   0.2915 ]],[[-0.3472  0.2098  0.3064 ...  0.1377  0.2411  0.2416]],[[ 0.1808   -0.57      0.006653 ... -0.0554    0.2142    0.516   ]],[[ 0.02512  0.02548 -0.434   ...  0.7446   0.1333   0.5645 ]],[[-0.2247 -0.753  -0.1951 ... -0.4258  0.4536  0.548 ]],[[-0.2114  0.0501 -0.914  ...  0.874  -0.1901  0.144 ]],[[-1.547  -1.347   0.5723 ...  1.268  -0.8594  0.4639]],[[-1.68   -0.5933 -0.908  ...  0.971  -0.693  -1.055 ]],[[-0.864   0.356  -0.852  ... -0.641   0.498   0.4143]],[[-1.71   -0.2847  0.3801 ... -0.3142 -0.0686 -1.894 ]]
12,give me that thing,मला ती गोष्ट दे,[[-0.7407 -0.1384  0.5503 ...  0.2578  0.1254  0.2478]],[[ 0.1567 -0.1309  0.35   ...  0.8154 -0.0725  0.4001]],[[-0.856   0.0796  0.3066 ... -0.789  -0.3716  0.373 ]],[[-0.001343  0.538     0.011475 ...  0.9224    0.42      0.2969  ]],[[-0.7383 -0.1709 -0.2576 ... -0.4165  0.5347  0.4463]],[[-0.3096  0.0544 -0.2229 ...  0.4316 -0.394   0.5234]],[[ 0.1388   0.4773   0.01453 ...  1.764   -0.05176  1.146  ]],[[-2.31    0.637  -0.8584 ...  0.324  -0.2236  0.784 ]],[[ 0.508     1.578    -2.424    ...  0.02032  -0.002655  1.037   ]],[[-1.264    0.6694   0.3154  ...  0.1416  -0.6885   0.03143]]
13,some of my friends can speak french well,माझ्या काही मित्रांना फ्रेंच बर्‍यापैकी बोलता येते,[[ 0.2101   0.07227  0.5054  ... -0.12085 -0.1907  -0.1399 ]],[[-0.1425  0.1556  0.1716 ...  0.083  -0.0341 -0.1421]],[[ 0.6997 -0.1646 -0.2266 ... -0.497   0.844   0.4111]],[[-0.0876  0.5825 -0.1562 ...  0.663   0.693   0.3896]],[[ 0.3333 -0.224  -0.5435 ... -0.8647  1.063   0.5186]],[[-0.577    0.1965  -0.3591  ...  0.4849   0.02867  0.5728 ]],[[ 0.0232 -0.5215 -1.007  ... -0.1802  0.869   0.886 ]],[[-1.892   0.814  -1.736  ...  0.5254  0.069   0.805 ]],[[-0.2515  1.236  -2.414  ... -0.6313  0.8115  1.045 ]],[[-0.09467  0.408   -1.531   ...  0.872    0.1677  -1.056  ]]
14,tom apologized today,टॉमने आज माफी मागितली,[[ 0.1943 -0.48   -0.2329 ...  0.798   1.279   0.3228]],[[ 0.6436  -0.00852  0.3306  ...  0.1979   0.05215  0.336  ]],[[-0.1179 -0.569  -0.2847 ...  0.1892  0.4175  0.5435]],[[ 0.7217  0.3572  0.6245 ... -0.2917  0.1481  0.532 ]],[[-0.1354  0.2303 -0.0852 ... -0.3423  1.132   0.1261]],[[ 1.1455    0.2986    0.10205  ... -0.006626 -0.07556   0.1393  ]],[[-0.6646  1.556   0.4587 ...  0.734   1.875  -0.1412]],[[-0.2957 -0.2983 -0.4607 ...  0.261  -0.0676 -0.4639]],[[-1.0205  1.673  -0.4995 ... -0.3655 -0.857  -0.4458]],[[ 0.793    0.03732  1.568   ...  0.1447   0.8145  -0.227  ]]
15,were quitting,आम्ही सोडत आहोत,[[ 0.02612  1.099    0.0196  ... -0.3816   0.2023   0.741  ]],[[ 0.4177  0.451   0.4082 ...  0.1741  0.3628 -1.01  ]],[[ 0.9746  0.585  -0.4834 ... -0.411   0.5137  1.314 ]],[[ 0.4111  1.133  -0.1403 ... -0.315  -0.0797 -1.006 ]],[[ 1.226  -0.1827 -0.224  ... -0.549   1.039   1.513 ]],[[ 0.4204  -0.03943 -0.157   ... -0.665   -0.667   -0.138  ]],[[ 1.658  -0.629  -0.9424 ...  0.1326  1.325   2.326 ]],[[-0.7715  0.4045 -0.5767 ... -0.851  -0.15    0.4473]],[[ 1.214   1.09   -2.951  ... -0.2542  0.896   1.246 ]],[[ 0.4326  1.024   2.31   ...  0.727   0.2422 -0.1948]]
16,she works at the bank,त्या बॅंकेत काम करतात,[[0.2637  0.3567  0.259   ... 0.0869  0.1265  0.02022]],[[0.3677  0.2316  0.0903  ... 0.7915  0.00836 0.577  ]],[[ 1.221   -0.05038  0.2524  ... -0.2148   0.1122   0.2942 ]],[[ 0.771   1.496  -0.2324 ...  1.164  -0.331   0.8555]],[[ 1.054   0.151   0.199  ... -0.7695  0.3936  0.2185]],[[ 0.7476  0.776  -0.2493 ...  0.8633 -0.3918  0.896 ]],[[ 1.485  -0.2988  0.74   ...  0.1113  0.2505  1.158 ]],[[ 0.1199  0.3872 -1.751  ...  1.04    0.3015  1.899 ]],[[ 0.3098   0.337    0.03485 ... -1.837    1.05     0.5815 ]],[[ 1.998   1.449  -3.092  ...  2.154   0.251  -0.4028]]
17,i wont be silent,मी शांत राहणार नाही,[[-0.373    0.0879   0.3577  ... -0.00235 -0.125    0.5483 ]],[[-0.02103  0.0187   0.335   ...  0.3027  -0.4285   0.1028 ]],[[ 0.1245  0.2932  0.2598 ... -0.575   0.752   0.6484]],[[ 0.1443   0.716   -0.315   ...  0.8833  -0.5405  -0.02502]],[[ 0.2024   0.083    0.5835  ... -0.4644   0.11414  0.7393 ]],[[ 0.4204  0.696  -0.3877 ...  1.067  -0.915   0.0833]],[[0.6562 0.1434 1.018  ... 0.2734 1.105  0.794 ]],[[-0.3762  0.907  -0.3918 ...  0.915  -0.91    1.203 ]],[[-0.968   0.545   0.1622 ... -0.9995 -0.2131  0.604 ]],[[-0.4336  0.527   0.442  ...  1.181   0.4873 -0.3286]]
18,tom gave us the key,टॉमने आपल्याला चावी दिली,[[-0.3457 -0.515   0.2646 ...  0.551   0.6514  0.6636]],[[ 0.2358  -0.05576  0.4395  ...  0.3933  -0.05075  0.2727 ]],[[-0.1241 -0.1345 -0.1865 ... -0.814   0.2664  0.8535]],[[ 0.2037   0.1442   0.5684  ... -0.01245 -0.5547   0.8457 ]],[[ 0.06192  0.3745  -0.1775  ... -0.3533   0.6714   0.2136 ]],[[ 0.81    -0.01653  0.1451  ...  0.3977  -0.4138   0.7627 ]],[[-0.1731  0.5195  0.681  ...  0.3047  1.33    1.896 ]],[[-0.592   -0.8394  -0.639   ...  0.8374  -0.01918  0.7285 ]],[[-0.781   0.7456  0.3914 ... -0.603   0.3823  1.076 ]],[[-0.162   -1.249    0.6123  ...  0.665    0.4727  -0.10736]]
19,tom has red hair,टॉमकडे लाल केस आहेत,[[ 0.02307 -0.8516  -0.1431  ...  0.591    0.5728   0.489  ]],[[ 0.0702  -0.07214 -0.1123  ...  0.6094  -0.0681   0.586  ]],[[ 0.471  -0.745  -0.487  ... -0.1415  0.4062  0.6357]],[[ 0.4373    0.1328   -0.2372   ... -0.003628 -0.08325   0.9355  ]],[[ 0.576   -0.9365   0.211   ... -0.05743  0.255    0.453  ]],[[ 0.4338 -0.2299  0.2269 ...  0.636  -0.152   0.847 ]],[[-0.923 -1.528 -0.547 ...  1.243  1.357  1.061]],[[-0.00837 -0.05447 -1.091   ...  0.1682   0.02498  1.109  ]],[[-1.947  -0.0537 -1.449  ... -0.4385  0.308  -0.2534]],[[0.08   0.2323 0.1015 ... 0.0329 0.3003 0.7886]]
20,well work tomorrow,आपण उद्या काम करू,[[-0.1517 -0.8184  0.383  ... -0.2134  0.2837 -0.3245]],[[-0.2107  -0.1193  -0.579   ...  0.1989   0.04413 -0.2917 ]],[[-0.2162  -0.5215   0.484   ... -0.4854   0.07245  0.363  ]],[[ 0.532   0.1553 -0.5107 ... -1.135  -0.0915  0.2368]],[[-0.619    0.1644   1.587   ... -0.233   -0.07245  0.603  ]],[[ 0.8066 -0.2336 -0.2249 ... -0.804  -0.4976  0.272 ]],[[-1.141  -0.7393  2.598  ...  0.3962  1.115   0.545 ]],[[-0.3323 -1.268  -0.9067 ... -0.4587 -1.023   1.18  ]],[[-1.479  -0.0866 -0.2224 ... -0.1622  0.4338  0.7007]],[[ 1.282   -0.7305   2.375   ... -0.03235 -0.401    0.879  ]]
21,what color are your eyes,तुमचे डोळे कोणत्या रंगाचे आहेत,[[ 0.2257  0.5205 -0.2368 ... -0.4744 -0.3784  0.2332]],[[ 0.1248 -0.1741  0.209  ...  0.3691 -0.4854  0.75  ]],[[ 0.588     0.1433    0.001465 ... -0.09503   0.806     0.959   ]],[[ 0.2356  0.675   0.4006 ... -0.0368  0.278   2.367 ]],[[ 0.4631 -0.5547  0.4219 ...  0.9727  0.6987  2.334 ]],[[ 0.179  -0.2346 -0.175  ...  0.1487 -0.1896  2.398 ]],[[-0.03008  0.462   -0.4163  ...  2.668    0.2666   3.2    ]],[[-1.528  -0.1421 -1.893  ...  1.174  -0.297   3.238 ]],[[-0.4797  0.4753 -1.669  ...  0.4426  0.947   1.556 ]],[[-0.4014  -0.3025  -0.1228  ...  1.001   -0.02005  0.383  ]]
22,do you want to talk in my office,माझ्या ऑफिसमध्ये बोलायचं आहे का,[[ 0.1694   0.1025   0.3625  ... -0.10925 -0.10614  0.01228]],[[-0.1501 -0.0143  0.4119 ...  0.1838 -0.5654 -0.354 ]],[[ 0.539  -0.3918  0.792  ... -0.1968  0.0745  0.41  ]],[[ 0.2092   0.0784  -0.0487  ...  0.0683   0.1583   0.02525]],[[ 0.6543 -0.2168  0.2133 ... -0.1831 -0.393   1.5   ]],[[ 0.3909  0.0139 -0.389  ...  0.3    -0.2145  0.757 ]],[[ 1.168 -1.597  0.448 ...  2.104 -0.594  1.988]],[[-0.9146  -0.08234 -1.668   ...  0.6133  -0.1627   0.796  ]],[[-0.0381  0.3645 -1.16   ...  0.87    0.1013  1.434 ]],[[-0.2424  1.004  -0.83   ...  1.086  -0.9917 -0.9355]]
23,we wont be here after,च्या नंतर आपण इथे नसू,[[-0.3467  0.437   0.85   ...  0.4404  0.254   0.581 ]],[[0.2913 0.3892 0.1565 ... 0.5566 0.0743 0.2886]],[[ 0.00889  0.3252   0.607   ... -0.1234   0.666    1.329  ]],[[ 0.864     1.012    -0.015465 ...  1.136    -0.0984    0.755   ]],[[-0.1664  0.2041  0.3755 ...  0.4417  0.699   1.837 ]],[[ 0.9404  0.5283 -1.095  ...  1.111  -0.2266  0.393 ]],[[-0.1707   0.09174  0.1757  ...  1.299    2.613    1.032  ]],[[ 0.1488 -0.4453 -2.113  ...  0.828  -0.507   1.088 ]],[[-0.784   0.2246 -0.7217 ... -0.6396  0.6904  0.911 ]],[[ 1.843   -0.08246 -0.7983  ...  2.494    0.9937  -0.2211 ]]
24,i saw some children playing in the park,मी काही मुलांना बागेत खेळताना पाहिलं,[[-0.1425 -0.0825 -0.1812 ... -0.228  -0.1862  0.1138]],[[-0.0826   0.2322   0.2627  ...  0.185   -0.05786  0.548  ]],[[ 0.4185  0.1004 -0.3877 ... -0.2155  0.3882  0.3599]],[[ 0.10425   1.119     0.199    ...  0.513    -0.1189    0.008026]],[[ 0.5215   0.3062  -0.501   ... -0.09033  0.2698   0.2466 ]],[[ 0.02678  0.54    -0.04605 ...  0.584   -0.2893  -0.1089 ]],[[ 0.5894  0.2947 -0.904  ...  0.4675  0.416   0.728 ]],[[-0.932  -0.0551 -0.5127 ...  0.2391  0.286   0.357 ]],[[ 0.1152  1.786  -0.888  ... -1.778   0.4453  0.0924]],[[0.2615 0.548  1.5205 ... 0.6353 0.1892 0.1411]]
25,china is a huge country,चीन एक प्रचंड देश आहे,[[ 0.3     -0.2231  -0.01035 ... -0.413   -0.04044  0.0692 ]],[[-0.08215  0.02359  0.0797  ... -0.1107  -0.7354  -0.01904]],[[ 1.082   0.31    0.0882 ... -0.2805  0.048   1.615 ]],[[ 0.508  -0.143  -0.1278 ...  0.229  -0.508   1.683 ]],[[ 0.3752 -0.4941  0.869  ... -0.6396 -0.0794  2.45  ]],[[ 0.3772  -0.3008  -0.00972 ...  0.4907  -0.4443   1.762  ]],[[ 1.729e-02 -1.645e+00  1.965e+00 ...  2.148e-03 -2.205e+00  1.988e+00]],[[-0.2656  -1.294   -0.10876 ...  0.895   -1.68     1.734  ]],[[-0.4795 -0.5527  1.616  ... -0.5605 -1.898   1.348 ]],[[-0.915  -1.681  -0.603  ... -0.2974 -0.2568 -0.106 ]]
26,tom opened the drawer,टॉमने ड्रॉवर उघडला,[[-0.3499 -0.3943  0.2554 ...  0.507   0.1432  0.829 ]],[[ 0.0737   -0.013565 -0.01488  ... -0.1812   -0.1556    0.137   ]],[[ 0.69    -0.4712   0.05432 ... -0.1843  -0.268    1.642  ]],[[ 0.577  -0.3594 -0.1636 ... -0.6035 -0.592   0.5923]],[[ 0.5376 -0.4375  1.414  ... -0.843   0.5913  2.39  ]],[[ 1.041  -0.4353 -0.556  ...  0.2969 -0.487   0.8755]],[[ 0.6475 -0.542   2.424  ... -0.8267  1.101   4.492 ]],[[-0.3767 -1.079  -1.988  ...  0.4019 -0.5015  1.641 ]],[[-0.536   0.658   1.629  ... -1.174   0.1742  2.023 ]],[[ 0.05414 -0.3645   0.324   ...  0.2922  -0.2206   0.771  ]]
27,we ate eggs,आम्ही अंडी खाल्ली,[[0.3313 0.6157 0.547  ... 0.2056 0.5957 0.0897]],[[ 0.7686   0.319   -0.09216 ... -0.06015  0.2125  -0.3066 ]],[[ 0.9795  0.5015  0.318  ... -0.6587  1.167   0.6714]],[[ 0.6113   1.056   -0.506   ...  0.187   -0.01333 -0.565  ]],[[ 1.835  -0.2585  0.7314 ... -0.6274  0.829   0.6333]],[[ 0.826  -0.2136 -0.3718 ...  0.1947 -0.4224 -0.3071]],[[ 1.865  -0.7896 -0.303  ...  0.751   1.936   2.764 ]],[[-0.01709 -0.3171  -0.6914  ... -0.282   -0.576   -0.08655]],[[ 0.826  -0.4456 -0.337  ... -1.627   0.7197  2.828 ]],[[ 0.3828 -0.1533 -1.383  ...  0.611  -0.3223 -0.5254]]
28,my wife is a doctor,माझी बायको डॉक्टर आहे,[[-0.1923  -0.2903   0.588   ... -0.728    0.11694 -0.1089 ]],[[ 0.1562   0.295    0.09863 ... -0.4697  -0.7734  -0.2622 ]],[[ 0.6147 -0.1394 -0.2107 ... -0.9707  0.2766  0.4556]],[[ 0.4922    0.568    -0.10004  ... -0.207    -0.5195   -0.005676]],[[ 0.4285 -0.0885 -0.1219 ... -0.6724 -0.3381  1.418 ]],[[-0.0481  0.6006  0.2573 ...  0.252  -0.183   0.2445]],[[ 1.383    -0.4172   -0.5264   ... -0.004494 -0.898     3.207   ]],[[-0.426    1.157   -0.09155 ...  1.012   -0.661    1.118  ]],[[ 0.6777  0.513  -1.163  ... -0.3906 -0.717   1.352 ]],[[-0.12036  1.451    3.201   ...  1.253   -1.288    0.2097 ]]
29,tom is going to the mall,टॉम मॉलला जातोय,[[-0.3809 -0.1106  0.1802 ...  0.3975  0.443   0.1144]],[[ 0.0736  0.318   0.1927 ...  0.5435 -0.1312  0.3955]],[[ 0.5205  0.1191  0.2095 ... -0.2274  0.482   0.6367]],[[ 0.5884  0.3616 -0.2203 ... -0.1832 -0.3608  1.118 ]],[[ 0.4062  0.278   0.944  ... -0.203   0.4663  0.2654]],[[ 0.9307  0.0734 -0.8145 ...  1.115  -0.3723  1.052 ]],[[ 0.421   -0.9      0.3901  ...  0.7017   0.03232  0.262  ]],[[ 0.04575  0.0699  -2.504   ...  0.1494  -0.1561   1.658  ]],[[-0.829    0.06775 -0.736   ... -0.888    0.6616  -0.4543 ]],[[-0.2986   0.05673 -1.188   ... -0.2366   0.7993   0.503  ]]
30,everyone started to laugh,सगळे हसू लागले,[[ 0.0648 -0.0849  0.6064 ... -0.4065  0.2598  0.0816]],[[ 0.9565   0.3499   0.01367 ... -0.322   -0.1559   0.7695 ]],[[ 0.665  -0.2338 -0.0748 ... -1.092   0.2147  0.5093]],[[ 1.677    1.083   -0.317   ...  0.10077 -0.568    1.68   ]],[[ 1.121    0.05942 -0.2727  ... -1.144    0.4111   0.394  ]],[[ 1.171   0.4167 -0.2957 ... -0.1515 -0.4253  0.9478]],[[ 1.654    -0.118    -0.98     ...  0.003077  0.7793    1.461   ]],[[ 0.8447 -0.0084 -1.444  ...  0.5244 -1.05    2.281 ]],[[ 0.955   0.3447 -2.951  ... -0.3909  0.1656  1.554 ]],[[ 2.572   1.014  -1.052  ...  1.535   0.2383  1.943 ]]
31,catch him,त्याला पकड,[[ 0.104  -0.787   0.3289 ... -0.3457  0.3115 -0.2754]],[[-0.9106 -0.2622  0.0908 ... -0.393   0.539   1.515 ]],[[ 0.85    0.2412 -0.456  ... -1.019  -0.568   0.7275]],[[ 0.01514  0.4856   0.04382 ... -0.64    -0.3435   0.3174 ]],[[ 0.658   0.1141 -0.4058 ... -0.2974 -0.2485  1.244 ]],[[ 0.1421  0.1783 -0.1439 ... -0.1175  0.3574  0.4365]],[[ 1.404  -0.56   -0.268  ...  0.895  -0.4924  1.846 ]],[[-0.591     0.2465    0.615    ...  0.003418  0.148     0.7266  ]],[[ 0.7246  1.857  -2.121  ...  0.1565 -1.119   2.146 ]],[[-0.05896  0.806    2.592   ...  2.305   -0.1774   1.769  ]]
32,i still love her,माझं अजूनही त्यांच्यावर प्रेम आहे,[[ 0.4192  -0.04114  0.5776  ...  0.1351  -0.1279  -0.03525]],[[ 0.3752  0.7876  0.9326 ... -0.394  -0.278  -0.1841]],[[ 1.111   0.0651  0.1626 ... -0.219   0.15    0.5884]],[[ 0.752   1.37    0.1663 ...  0.2344 -0.1084 -0.216 ]],[[ 1.252   0.3313  0.2362 ... -0.4673 -0.2386  0.7925]],[[ 0.865    0.856   -0.02675 ... -0.0993  -0.02625 -0.1754 ]],[[ 2.143   0.0547  0.4644 ...  0.2834 -0.3696  1.11  ]],[[-0.3826  -0.03735 -0.987   ...  0.3005   0.802   -0.546  ]],[[ 0.2883  1.04   -0.2761 ... -0.0893 -0.2451  0.652 ]],[[-0.1415  0.579   2.832  ...  0.4646  0.8467 -0.6455]]
